Sample Name	Protocol REF	Extract Name	Protocol REF	Raw Data File R1	Protocol REF	Single-cell Sequencing Raw Data File	Protocol REF	Pseudobulk File	Protocol REF	Feature Annotation File
INCOV004-BL	Extraction	extract_INCOV004-BL	Single cell sequencing	scs_rawdata_extract_INCOV004-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV004-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV005-BL	Extraction	extract_INCOV005-BL	Single cell sequencing	scs_rawdata_extract_INCOV005-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV005-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV006-BL	Extraction	extract_INCOV006-BL	Single cell sequencing	scs_rawdata_extract_INCOV006-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV006-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV007-BL	Extraction	extract_INCOV007-BL	Single cell sequencing	scs_rawdata_extract_INCOV007-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV007-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV008-BL	Extraction	extract_INCOV008-BL	Single cell sequencing	scs_rawdata_extract_INCOV008-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV008-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV009-BL	Extraction	extract_INCOV009-BL	Single cell sequencing	scs_rawdata_extract_INCOV009-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV009-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV010-BL	Extraction	extract_INCOV010-BL	Single cell sequencing	scs_rawdata_extract_INCOV010-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV010-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV011-BL	Extraction	extract_INCOV011-BL	Single cell sequencing	scs_rawdata_extract_INCOV011-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV011-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV012-BL	Extraction	extract_INCOV012-BL	Single cell sequencing	scs_rawdata_extract_INCOV012-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV012-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV013-BL	Extraction	extract_INCOV013-BL	Single cell sequencing	scs_rawdata_extract_INCOV013-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV013-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV014-BL	Extraction	extract_INCOV014-BL	Single cell sequencing	scs_rawdata_extract_INCOV014-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV014-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV015-BL	Extraction	extract_INCOV015-BL	Single cell sequencing	scs_rawdata_extract_INCOV015-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV015-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV016-BL	Extraction	extract_INCOV016-BL	Single cell sequencing	scs_rawdata_extract_INCOV016-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV016-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV017-BL	Extraction	extract_INCOV017-BL	Single cell sequencing	scs_rawdata_extract_INCOV017-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV017-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV018-BL	Extraction	extract_INCOV018-BL	Single cell sequencing	scs_rawdata_extract_INCOV018-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV018-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV019-BL	Extraction	extract_INCOV019-BL	Single cell sequencing	scs_rawdata_extract_INCOV019-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV019-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV020-BL	Extraction	extract_INCOV020-BL	Single cell sequencing	scs_rawdata_extract_INCOV020-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV020-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV022-BL	Extraction	extract_INCOV022-BL	Single cell sequencing	scs_rawdata_extract_INCOV022-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV022-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV023-BL	Extraction	extract_INCOV023-BL	Single cell sequencing	scs_rawdata_extract_INCOV023-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV023-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV024-BL	Extraction	extract_INCOV024-BL	Single cell sequencing	scs_rawdata_extract_INCOV024-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV024-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV025-BL	Extraction	extract_INCOV025-BL	Single cell sequencing	scs_rawdata_extract_INCOV025-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV025-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV026-BL	Extraction	extract_INCOV026-BL	Single cell sequencing	scs_rawdata_extract_INCOV026-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV026-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV027-BL	Extraction	extract_INCOV027-BL	Single cell sequencing	scs_rawdata_extract_INCOV027-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV027-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV028-BL	Extraction	extract_INCOV028-BL	Single cell sequencing	scs_rawdata_extract_INCOV028-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV028-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV029-BL	Extraction	extract_INCOV029-BL	Single cell sequencing	scs_rawdata_extract_INCOV029-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV029-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV030-BL	Extraction	extract_INCOV030-BL	Single cell sequencing	scs_rawdata_extract_INCOV030-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV030-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV031-BL	Extraction	extract_INCOV031-BL	Single cell sequencing	scs_rawdata_extract_INCOV031-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV031-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV032-BL	Extraction	extract_INCOV032-BL	Single cell sequencing	scs_rawdata_extract_INCOV032-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV032-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV033-BL	Extraction	extract_INCOV033-BL	Single cell sequencing	scs_rawdata_extract_INCOV033-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV033-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV034-BL	Extraction	extract_INCOV034-BL	Single cell sequencing	scs_rawdata_extract_INCOV034-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV034-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV035-BL	Extraction	extract_INCOV035-BL	Single cell sequencing	scs_rawdata_extract_INCOV035-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV035-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV036-BL	Extraction	extract_INCOV036-BL	Single cell sequencing	scs_rawdata_extract_INCOV036-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV036-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV039-BL	Extraction	extract_INCOV039-BL	Single cell sequencing	scs_rawdata_extract_INCOV039-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV039-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV040-BL	Extraction	extract_INCOV040-BL	Single cell sequencing	scs_rawdata_extract_INCOV040-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV040-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV041-BL	Extraction	extract_INCOV041-BL	Single cell sequencing	scs_rawdata_extract_INCOV041-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV041-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV042-BL	Extraction	extract_INCOV042-BL	Single cell sequencing	scs_rawdata_extract_INCOV042-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV042-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV043-BL	Extraction	extract_INCOV043-BL	Single cell sequencing	scs_rawdata_extract_INCOV043-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV043-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV044-BL	Extraction	extract_INCOV044-BL	Single cell sequencing	scs_rawdata_extract_INCOV044-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV044-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV045-BL	Extraction	extract_INCOV045-BL	Single cell sequencing	scs_rawdata_extract_INCOV045-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV045-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV047-BL	Extraction	extract_INCOV047-BL	Single cell sequencing	scs_rawdata_extract_INCOV047-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV047-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV048-BL	Extraction	extract_INCOV048-BL	Single cell sequencing	scs_rawdata_extract_INCOV048-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV048-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV049-BL	Extraction	extract_INCOV049-BL	Single cell sequencing	scs_rawdata_extract_INCOV049-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV049-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV050-BL	Extraction	extract_INCOV050-BL	Single cell sequencing	scs_rawdata_extract_INCOV050-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV050-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV051-BL	Extraction	extract_INCOV051-BL	Single cell sequencing	scs_rawdata_extract_INCOV051-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV051-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV052-BL	Extraction	extract_INCOV052-BL	Single cell sequencing	scs_rawdata_extract_INCOV052-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV052-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV053-BL	Extraction	extract_INCOV053-BL	Single cell sequencing	scs_rawdata_extract_INCOV053-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV053-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV055-BL	Extraction	extract_INCOV055-BL	Single cell sequencing	scs_rawdata_extract_INCOV055-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV055-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV056-BL	Extraction	extract_INCOV056-BL	Single cell sequencing	scs_rawdata_extract_INCOV056-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV056-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
INCOV057-BL	Extraction	extract_INCOV057-BL	Single cell sequencing	scs_rawdata_extract_INCOV057-BL_R1.tsv	Single cell RNA-seq data qc	scs_qc_extract_INCOV057-BL.tsv	Pseudo-bulk aggregation	../../data/Su_2020_FAIR\transcriptomics\ transcriptomics_Su_2020_feature-data.csv	feature annotation	../../data/Su_2020_FAIR\transcriptomics\transcriptomics_Su_2020_feature-metadata.csv
